id,origin,oname,name,type,requirements,summary,description
RUM498WEE37VE3SW,Trade,Smithing,Weapon Upkeep,short,Smithing Kit,"Sharpen a weapon, giving it an edge on its damage for a short time.","<p>As a <em>Rest Action</em>, you can do general upkeep to a weapon, such as sharpening or tuning, to give it +1 damage on hit. It retains this bonus until it has hit a target three times, or until the next long rest after it has hit a target.</p>"
ZRFAFQU804JG2V4M,Trade,Smithing,Armor Upkeep,short,Smithing Kit,"Renew a set of armor, bolstering it against the next blow it receives.","<p>As a <em>Rest Action</em>, you can do general upkeep, such as hammering out dents, treating cracks, or reinforcing weakened metal, to give a piece of armor +1 AC for the next attack that is made against it.</p>"
VG68336KAA307W42,Trade,Smithing,Repair Ammunition,short,Smithing Kit,Repair up to 5 pieces of broken ammunition.,"<p>As a <em>Rest Action</em>, you can repair up to 5 broken ammunition.</p>"
78XV9ODPBTSN0I9P,Trade,Subterfuge,Apply Basic Disguise,short,Subterfuge Kit,Create a disguise for yourself that shares your race and proportions.,"<p>As a <em>Rest Action</em>, you can attempt to disguise yourself as any creature of your same race and general body proportions. When you apply this disguise, make an Intelligence (Craft) check. The result of that roll determines the DC that is necessary for others to recognize that the disguise is a fake. The result of that roll, -5, determines the DC that is necessary for others to recognize that the disguise is a fake.</p>"
NWUB95AUJSGDBRD1,Trade,Subterfuge,Apply Advanced Disguise,short,Subterfuge Kit,Disguise yourself in any way you feasibly can.,"<p>As a <em>Rest Action</em>, you can attempt to disguise yourself as any creature that you can reasonably disguise yourself as. When you apply this disguise, make an Intelligence (Craft) check.</p><ul><li>As part of this disguise, you can make yourself appear about a foot taller or shorter, some pounds thicker or thinner, and can even change your eye color.</li><li>Attempting to disguise yourself as something with elements that you cannot replicate, such as extra limbs, a different creature size, or an extra head, will automatically fail unless hiding or replacing those elements is part of the disguise.</li></ul>"
ZLANKSOHURR2BJFV,Trade,Subterfuge,Create Forgery,short,Subterfuge Kit,Attempt to create a convincing forgery of a document or image.,"<p>As a <em>Rest Action</em>, you can attempt to create a forgery. The forgery can be of a document or other text no longer than a page, an identification, or a simple badge or image. When you do, make an Intelligence (Craft) check. The result of that roll determines the DC that is necessary to recognize that the forgery is a fake.</p>"
5QZH5SVTJFRU1XPM,Trade,Subterfuge,Create Hidden Message,short,Subterfuge Kit,Create a cipher or other form of hidden message.,"<p>As a <em>Rest Action</em>, you can create a hidden message in text, such as a cipher, encryption, invisible message, and so on. Make a Dexterity (Sleight of Hand) or Intelligence (Craft) check. The result, -5, becomes the DC to decipher the message.</p>"
7SI9HJ3BATABAABG,Trade,Thievery,Appraise Item,short,Thievery Kit,Estimate the sale value of items you've spent time around.,"<p>As a <em>Rest Action</em>, you can determine the estimated sale value of up to three items for an area you have spent at least a day in.</p>"
MELSMS8LZB1LOKEY,Trade,Tinkering,Create Trinket,short,"Tinkering Kit, Materials",Create or continue working on a small non-mechanical trinket.,"<p>You can create one non-mechanized trinket or small object. So long as you have relevant materials equal to &frac34; of the trinket&rsquo;s cost, you can work on creating the item over the course of short or long rests. Each <em>Rest Action</em> you spend working on it, make an Intelligence (Craft) check against DC 10. Each success counts as 1 completed work session; a failure does not. Depending on the item&rsquo;s actual cost, it takes more work sessions to complete.</p><p>See&nbsp;@Compendium[undertaking.tables.OANH1Q51JDEB8ETI]{Tinkercraft} table.</p>"
D7V8RYFTL5VCQ4GI,Trade,Tinkering,Create Simple Gadget,short,"Tinkering Kit, Scrap Metal","Create a common gadget such as a crossbow, lighter, lock, or trap.","<p>As a <em>Rest Action</em>, you can create one common gadget&mdash;two as a <em>Long Rest Action</em>. Each gadget can be made from Scrap Metal of an equal GP value:</p><ul><li>A crossbow (Light, Hand, Heavy, or Repeating)</li><li>A hunting trap</li><li>A lighter</li><li>A lock</li></ul>"
EIIIFLRNWN36Y8R4,Trade,Tinkering,Create Complex Gadget,short,"Tinkering Kit, Scrap Metal",Create a complex mechanical gadget from scrap metal.,"<p>Over the course of one or more <em>Rest Actions</em>, you can create one intricate item of clockwork, gadgetry, or otherwise. These can vary and some have special effects.</p><ul><li><em>Create Clockwork Toy (1 Scrap Metal, 1 rest): </em>You can create a simple clockwork toy that is no larger than a few inches. You decide what it looks like when you make it, but it always has a small winding key to activate it. The toy does up to two simple actions once wound-up, and can only be wound enough to act for up to 1 minute:&nbsp;</li><ul><li>Walk 5 ft forward.</li><li>Make a clicking or dinging noise.</li><li>Grab and hold an object less than 1lb in size near it.</li><li>Activate upon motion instead of winding.</li><li>Light up like a built-in lighter to cast 5 ft of light.</li></ul><li><em>Create Timepiece (2 Scrap Metal, 2 rests):</em> You can create a watch or clock that tells the time.</li><li><em>Create Impact Capsule (1 Scrap Metal, 1 rest):</em> You can create a capsule that, when a pin is pulled from it, will explode its contents out into a 10 ft radius around where it next impacts. Contents can be anything that can fit inside a baseball, including liquids like water, oil, or potions without the corrupted or thickened modifiers, smoke or gas canisters, even ball bearings or a letter. Impact Capsules break once activated, with all Scrap Metal used to make it too damaged for reusage.<ul><li><em>Add Lighting Mechanism (1 Scrap Metal, 1 rest):</em> Once you have created an Impact Capsule, you can add a mechanism to cause a spark upon impact, causing anything flammable inside of it to light on fire.</li></ul></li><li><em>Create Music Box (5 Scrap Metal, 3 rests):</em> You can create a box that, when wound, plays a simple tune. You can create new songs for the box by using an additional 1 Scrap Metal.</li></ul>"
I1I483EOGS2A0ZEE,Trade,Tinkering,Repair Trinket or Gadget,short,Tinkering Kit,Repair a damaged trinket or gadget.,"<p>You can repair a fully broken trinket or gadget at &frac12; the material cost in &frac12; the sessions using the @Compendium[undertaking.tables.OANH1Q51JDEB8ETI]{Tinkercraft} table. Partially damaged objects require fewer parts and less time to repair, ask your GM for the difficulty and cost of a partial repair. Intelligence (Craft) checks to repair parts have a DC of 12.</p>"
SOFQB9ZDQZEKSIW9,Trade,Tinkering,Repair Ammunition#2,short,Tinkering Kit,Repair up to 5 pieces of broken ammunition.,"<p>As a <em>Rest Action</em>, you can repair up to 5 broken ammunition.</p>"
8YNWKHKKC2QMV0LY,Trade,Tinkering,Repair Construct,short,"Tinkering Kit, Scrap Metal",Use your tools and spare metal to restore hit points to a construct.,"<p>Over a <em>Rest Action</em>, you can repair damage to a Construct using 1 Scrap Metal. Make a DC 10 Intelligence (Craft) check. On success, the Construct restores hit points equal to 1d10 + your Intelligence (Craft) Modifier. On failure, restore 1d4 + your Proficiency instead.</p>"
YLOTM7EKMWPAIQ2E,Race,Warrior Chk'tu,Regrow Stinger,long,None,Regain the use of your Death Sting.,"<p>As a<em> Long Rest Action, you</em> focus your body on regrowing your stinger and regain the use of your&nbsp;@Compendium[undertaking.abilities.W2JOTIASQTIRW3IA]{Death Sting} ability.</p>"
QCJ0RCMG5ZDKN597,Class,Cleric,Philosophical Breakthrough,long,None,Change the form of belief granted by your Clerical Approach.,"<p>To change your character&rsquo;s form of belief, you must reach a philosophical breakthrough as a <em>Long Rest Action</em>. When you do, you lose access to the trait of your previous @Compendium[undertaking.abilities.RVBAX8AXLOK0TRYA]{Clerical Approach}, and may choose another one. This process is mentally taxing, and you cannot make the change again until 1 month after choosing a @Compendium[undertaking.abilities.RVBAX8AXLOK0TRYA]{Clerical Approach}.</p>"
QS58G9QJAIP20Y4S,Class,Gladiator Fighter,Heel or Face Turn,long,None,Practice a new Gladiatorial Role to adjust your public image.,"<p>You can change your Gladiatorial Role, but it takes some time to change your public image and get used to the role. You can do so by practicing your new image as a <em>Long Rest Action</em>. When you do, you lose access to the traits of your previous @Compendium[undertaking.abilities.726QUN63DM3JKKPN]{Gladiatorial Role} and may choose another one. If you change @Compendium[undertaking.abilities.726QUN63DM3JKKPN]{Gladiatorial Role} within 1 month of the last change, then you can only gain half heat for 1 week following.</p>"
J5UBBMIM6FKPUK1C,Class,Wizard,Replace Spellbook,long,Empty Spellbook or similar medium,Turn a blank book into a new book of spells.,"<p>Should a Wizard lose their @Compendium[undertaking.abilities.L4TCBW3PWUZVSULN]{Book of Spells} and have to write a new one, they can do so as a <em>Long Rest Action</em> with a new and empty spellbook or any suitable medium&mdash;though any improvised option will be less durable than a proper spellbook. During this process, they can copy down all of the spells they know. Spells that you don&rsquo;t know but had temporarily prepared due to spell scrolls or spellpages that were tucked into your old spellbook are not recovered.</p>"
1ZTDHXICI9AG8MH1,Class,Wizard,Sharing Spells,short,Blank Spellpage,Copy a spell you know onto a spellpage.,"<p>While many wizards closely guard their accumulated arcane secrets for fear of what could come about were they to fall into the wrong hands, collaboration between wizards can lead to even greater knowledge. As a <em>Rest Action</em>, you can copy one Wizard spell you know onto a discrete spellpage, should you have one in your possession.</p>"
